ID|TWEETS
1|What
1|good
1|is
1|NATO
1|if
1|Germany
1|is
1|paying
1|Russia
1|billions
1|of
1|dollars
1|for
1|gas
1|and
1|energy
1|Why
1|are
1|their
1|only
1|5
1|out
1|of
1|29
1|countries
1|that
1|have
1|met
1|their
1|commitment
1|The
1|U
1|S
1|is
1|paying
1|for
1|Europe
1|s
1|protection
1|then
1|loses
1|billions
1|on
1|Trade
1|Must
1|pay
1|2
1|of
1|GDP
1|IMMEDIATELY
1|not
1|by
1|2025
2|Public
2|opinion
2|has
2|turned
2|strongly
2|against
2|the
2|Rigged
2|Witch
2|Hunt
2|and
2|the
2|Special
2|Councel
2|because
2|the
2|public
2|understands
2|that
2|there
2|was
2|no
2|Collusion
2|with
2|Russia
2|so
2|ridiculous
2|that
2|the
2|two
2|FBI
2|lovers
2|were
2|a
2|fraud
2|against
2|our
2|Nation
2|that
2|the
2|only
2|Collusion
2|was
2|with
2|the
2|Dems
3|After
3|having
3|written
3|many
3|best
3|selling
3|books
3|and
3|somewhat
3|priding
3|myself
3|on
3|my
3|ability
3|to
3|write
3|it
3|should
3|be
3|noted
3|that
3|the
3|Fake
3|News
3|constantly
3|likes
3|to
3|pour
3|over
3|my
3|tweets
3|looking
3|for
3|a
3|mistake
3|I
3|capitalize
3|certain
3|words
3|only
3|for
3|emphasis
3|not
3|b
3|c
3|they
3|should
3|be
3|capitalized
4|Just
4|arrived
4|in
4|West
4|Virginia
4|pscp
4|tv
4|w
4|bgvt8jFvTlFs
5|The
5|Washington
5|Post
5|is
5|constantly
5|quoting
5|anonymous
5|sources
5|that
5|do
5|not
5|exist
5|Rarely
5|do
5|they
5|use
5|the
5|name
5|of
5|anyone
5|because
5|there
5|is
5|no
5|one
5|to
5|give
5|them
5|the
5|kind
5|of
5|negative
5|quote
5|that
5|they
5|are
5|looking
5|for
5|They
5|are
5|a
5|discgrace
5|to
5|journalism
5|but
5|then
5|again
5|so
5|are
5|many
5|others
6|has
6|been
6|a
6|great
6|help
6|to
6|me
6|on
6|Cutting
6|Taxes
6|creating
6|great
6|new
6|healthcare
6|programs
6|at
6|low
6|cost
6|fighting
6|for
6|Border
6|Security
6|our
6|Military
6|and
6|are
6|Vets
6|He
6|is
6|tough
6|on
6|Crime
6|and
6|has
6|my
6|full
6|Endorsement
6|The
6|Great
6|State
6|of
6|Louisiana
6|we
6|want
6|Clay
7|Based
7|on
7|the
7|Tariffs
7|and
7|Trade
7|Barriers
7|long
7|placed
7|on
7|the
7|U
7|S
7|and
7|it
7|great
7|companies
7|and
7|workers
7|by
7|the
7|European
7|Union
7|if
7|these
7|Tariffs
7|and
7|Barriers
7|are
7|not
7|soon
7|broken
7|down
7|and
7|removed
7|we
7|will
7|be
7|placing
7|a
7|20
7|Tariff
7|on
7|all
7|of
7|their
7|cars
7|coming
7|into
7|the
7|U
7|S
7|Build
7|them
7|here
8|Henry
8|McMaster
8|has
8|done
8|a
8|great
8|job
8|as
8|Governor
8|of
8|South
8|Carolina
8|The
8|State
8|is
8|BOOMING
8|with
8|jobs
8|and
8|new
8|industry
8|setting
8|records
8|He
8|is
8|tough
8|on
8|Crime
8|and
8|strong
8|on
8|Borders
8|Health
8|Care
8|the
8|Mititary
8|and
8|our
8|great
8|Vets
8|Henry
8|has
8|my
8|full
8|and
8|complete
8|Endorsement
8|MAGA
9|The
9|IG
9|Report
9|totally
9|distroys
9|James
9|Comey
9|and
9|all
9|of
9|his
9|minions
9|including
9|the
9|great
9|lovers
9|Peter
9|Strzok
9|and
9|Lisa
9|Page
9|who
9|started
9|the
9|disgraceful
9|Witch
9|Hunt
9|against
9|so
9|many
9|innocent
9|people
9|It
9|will
9|go
9|down
9|as
9|a
9|dark
9|and
9|dangerous
9|period
9|in
9|American
9|History
10|realize
10|the
10|economy
10|is
10|the
10|best
10|it
10|s
10|ever
10|been
10|with
10|employment
10|being
10|at
10|an
10|all
10|time
10|high
10|and
10|many
10|companies
10|pouring
10|back
10|into
10|our
10|country
10|Wake
10|up
10|Punchy
11|Robert
11|De
11|Niro
11|a
11|very
11|Low
11|IQ
11|individual
11|has
11|received
11|to
11|many
11|shots
11|to
11|the
11|head
11|by
11|real
11|boxers
11|in
11|movies
11|I
11|watched
11|him
11|last
11|night
11|and
11|truly
11|believe
11|he
11|may
11|be
11|punch
11|drunk
11|I
11|guess
11|he
11|doesn
11|t
12|My
12|thoughts
12|and
12|prayers
12|are
12|with
12|the
12|families
12|of
12|our
12|serviceman
12|who
12|was
12|killed
12|and
12|his
12|fellow
12|servicemen
12|who
12|were
12|wounded
12|in
12|Somolia
12|They
12|are
12|truly
12|all
12|HEROES
13|Total
13|jobless
13|claims
13|running
13|at
13|lowest
13|level
13|in
13|44
13|years
